SMILES	pchembl_value_Mean	accession
Cc1nn(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)c(C)c1	8.68	P29274
Cc1nn(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)c(C)c1	6.68	P30542
Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2c1cc1CCCCc1n2	4.82	P29274
O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1	7.15	P0DMS8
O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1	5.65	P29274
CCNC(=O)C1OC(n2cnc3c2ncnc3Nc2ccc(OCC(=O)Nc3ccc(Cl)cc3)cc2)C(O)C1O	7.47	P0DMS8
CCNC(=O)C1OC(n2cnc3c2ncnc3Nc2ccc(OCC(=O)Nc3ccc(Cl)cc3)cc2)C(O)C1O	8.51	P30542
C#CCn1c(=O)c2c(nc3cc(OC)ccn32)n(Cc2ccccc2)c1=O	8.385	P0DMS8
N#Cc1c(N)nc(SCC2=NCCN2)c(C#N)c1-c1ccc(OCC2CC2)cc1	6.32	P30542
CNC(=O)C12CC1C(n1cnc3c1nc(C#CCCCCC(=O)OC)nc3NCc1cc(Cl)ccc1)C(O)C2O	7.96	P0DMS8
CNC(=O)C12CC1C(n1cnc3c1nc(C#CCCCCC(=O)OC)nc3NCc1cc(Cl)ccc1)C(O)C2O	5.45	P29274
CCCCn1c(=O)[nH]c2c(nc(-c3ccc(OCC(=O)N4CCN(Cc5ccccc5)CC4)cc3)[nH]2)c1=O	6.91	P30542
CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(CCCNC(=O)c2ccc(S(C)(=O)=O)cc2)c1=O	6.163333333333334	P0DMS8
CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(CCCNC(=O)c2ccc(S(C)(=O)=O)cc2)c1=O	5.2	P29274
CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(CCCNC(=O)c2ccc(S(C)(=O)=O)cc2)c1=O	4.8	P30542
COc1c(O)ccc(CCNc2nc(C#Cc3ccc(Br)s3)nc3c2ncn3C2C(O)C(O)C3CC32)c1	8.49	P0DMS8
CCCn1c(=O)c2c([nH]c(-c3ccc(C=CC(=O)Nc4ccccc4C(C)=O)cc3)n2)n(CCC)c1=O	8.44	P29275
Cn1c(-n2nccn2)nc2c1nc(CCc1ccccc1)nc2N	8.33	P29274
Cn1c(-n2nccn2)nc2c1nc(CCc1ccccc1)nc2N	5.63	P29275
Cn1c(-n2nccn2)nc2c1nc(CCc1ccccc1)nc2N	7.1	P30542
CC1=C(C(=O)OC2CCC2)C(c2ccco2)NC(=O)N1	7.02	P29275
Nc1nc(-c2ccccc2)cn2cc(-c3ccco3)nc12	6.28	P29274
Nc1nc(-c2ccccc2)cn2cc(-c3ccco3)nc12	6.84	P30542
CCCn1c(=O)c2c(nc3N(c4ccc(OCCN5CCCC5)cc4)CCCn32)n(CCC)c1=O	5.62	P29274
CCCn1c(=O)c2c(nc3N(c4ccc(OCCN5CCCC5)cc4)CCCn32)n(CCC)c1=O	5.7	P30542
N#Cc1c(N)nc(-c2ccco2)cc1-c1ccccc1	7.96	P29274
N#Cc1c(N)nc(-c2ccco2)cc1-c1ccccc1	6.77	P29275
N#Cc1c(-c2ccccc2)cc(-c2ccco2)nc1N	7.55	P30542
OC1C(O)C(n2cnc3c2nc(C#Cc2ccccc2Cl)nc3NCCc2ccccc2)C2CC12	7.43	P0DMS8
NC(=O)NC1C(CO)OC(n2cnc3c2ncnc3NCc2cc(I)ccc2)C1O	6.495	P0DMS8
CCCn1c(=O)c2c(nc3n(CC)c(C)cn23)n(Cc2ccccc2)c1=O	6.7	P0DMS8
CCCn1c(=O)c2c([nH]c(-c3ccccc3)n2)n(CCCOC)c1=O	6.47	P29274
CCCn1c(=O)c2c([nH]c(-c3ccccc3)n2)n(CCCOC)c1=O	6.49	P29275
COc1c(C#N)c(-c2cc3c(cc2)OCO3)c(C#N)c(N)n1	4.51	P29274
COc1nc(N)c(C#N)c(-c2cc3c(cc2)OCO3)c1C#N	6.29	P30542
Nc1nc2nc(-c3ccco3)nn2c(N)n1	6.8	P29274
Nc1nc2nc(-c3ccco3)nn2c(N)n1	5.85	P30542
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O	8.62	P0DMS8
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O	6.49	P29274
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O	4.62	P29275
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O	7.18	P30542
Cc1nn(-c2nc(-c3ccc(C)o3)nc(NC(=O)CN3CCOCC3)c2)c(C)c1	8.24	P29274
