smiles,index,type
Clc1ccc(OCC(=O)OCCN(C)C)cc1,0,augmented
c1c(OCC(OCCN(C)C)=O)ccc(Cl)c1,0,augmented
O(c1ccc(Cl)cc1)CC(=O)OCCN(C)C,0,augmented
c1c(Cl)ccc(OCC(OCCN(C)C)=O)c1,0,augmented
C(COc1ccc(Cl)cc1)(OCCN(C)C)=O,0,augmented
c1(Cl)ccc(OCC(OCCN(C)C)=O)cc1,0,augmented
c1c(Cl)ccc(OCC(=O)OCCN(C)C)c1,0,augmented
c1(OCC(=O)OCCN(C)C)ccc(Cl)cc1,0,augmented
c1(OCC(OCCN(C)C)=O)ccc(Cl)cc1,0,augmented
C(C)(C1(CC)C(=O)NC(=S)NC1=O)CCC,1,augmented
CC(CCC)C1(CC)C(=O)NC(=S)NC1=O,1,augmented
C1(=S)NC(=O)C(C(C)CCC)(CC)C(=O)N1,1,augmented
S=C1NC(=O)C(C(CCC)C)(CC)C(=O)N1,1,augmented
C(CC)C(C)C1(CC)C(=O)NC(=S)NC1=O,1,augmented
C(C1(C(C)CCC)C(=O)NC(=S)NC1=O)C,1,augmented
C(C(C)C1(CC)C(=O)NC(=S)NC1=O)CC,1,augmented
N1C(=S)NC(=O)C(CC)(C(CCC)C)C1=O,1,augmented
C1(=O)C(CC)(C(C)CCC)C(=O)NC(=S)N1,1,augmented
c1c(O)cc(NC(=O)C)cc1,2,augmented
CC(Nc1cc(O)ccc1)=O,2,augmented
C(=O)(Nc1cc(O)ccc1)C,2,augmented
CC(=O)Nc1cc(O)ccc1,2,augmented
c1c(O)cc(NC(C)=O)cc1,2,augmented
O=C(Nc1cccc(O)c1)C,2,augmented
O=C(C)Nc1cc(O)ccc1,2,augmented
c1cc(O)cc(NC(C)=O)c1,2,augmented
O=C(C)Nc1cccc(O)c1,2,augmented
OC(C1=C(CSc2n(C)[nH]c(=O)c(=O)n2)CSC2C(NC(=O)C(=NOC)c3nc(N)sc3)C(=O)N12)=O,3,augmented
CON=C(c1nc(N)sc1)C(=O)NC1C(=O)N2C1SCC(CSc1nc(=O)c(=O)[nH]n1C)=C2C(=O)O,3,augmented
C12N(C(=O)C1NC(C(=NOC)c1nc(N)sc1)=O)C(C(=O)O)=C(CSc1n(C)[nH]c(=O)c(=O)n1)CS2,3,augmented
C(C(NC1C(=O)N2C(C(O)=O)=C(CSc3n(C)[nH]c(=O)c(=O)n3)CSC12)=O)(=NOC)c1nc(N)sc1,3,augmented
c1(=O)c(=O)[nH]n(C)c(SCC2=C(C(O)=O)N3C(C(NC(=O)C(c4csc(N)n4)=NOC)C3=O)SC2)n1,3,augmented
S(CC1=C(C(=O)O)N2C(C(NC(C(c3nc(N)sc3)=NOC)=O)C2=O)SC1)c1nc(=O)c(=O)[nH]n1C,3,augmented
C1(CSc2n(C)[nH]c(=O)c(=O)n2)=C(C(O)=O)N2C(C(NC(=O)C(=NOC)c3nc(N)sc3)C2=O)SC1,3,augmented
c1(N)scc(C(=NOC)C(=O)NC2C(=O)N3C(C(O)=O)=C(CSc4nc(=O)c(=O)[nH]n4C)CSC23)n1,3,augmented
N12C(SCC(CSc3nc(=O)c(=O)[nH]n3C)=C1C(=O)O)C(NC(C(c1csc(N)n1)=NOC)=O)C2=O,3,augmented
C(OC)C1OC(=O)N(c2ccc(OCCC(C(F)(F)F)O)cc2)C1,4,augmented
FC(F)(C(O)CCOc1ccc(N2CC(COC)OC2=O)cc1)F,4,augmented
N1(c2ccc(OCCC(O)C(F)(F)F)cc2)CC(COC)OC1=O,4,augmented
C(COc1ccc(N2CC(COC)OC2=O)cc1)C(C(F)(F)F)O,4,augmented
FC(C(O)CCOc1ccc(N2CC(COC)OC2=O)cc1)(F)F,4,augmented
c1cc(OCCC(O)C(F)(F)F)ccc1N1CC(COC)OC1=O,4,augmented
COCC1OC(=O)N(c2ccc(OCCC(O)C(F)(F)F)cc2)C1,4,augmented
c1(N2C(=O)OC(COC)C2)ccc(OCCC(C(F)(F)F)O)cc1,4,augmented
C(C(O)C(F)(F)F)COc1ccc(N2C(=O)OC(COC)C2)cc1,4,augmented
c1(Cl)cc2c(cc1)N(C)C(=O)CN=C2c1ccccc1,5,augmented
c1c2c(ccc1Cl)N(C)C(=O)CN=C2c1ccccc1,5,augmented
c1cc(Cl)cc2c1N(C)C(=O)CN=C2c1ccccc1,5,augmented
c12c(cc(Cl)cc1)C(c1ccccc1)=NCC(=O)N2C,5,augmented
c1cc(C2=NCC(=O)N(C)c3c2cc(Cl)cc3)ccc1,5,augmented
C1(=O)CN=C(c2ccccc2)c2cc(Cl)ccc2N1C,5,augmented
C1(c2ccccc2)=NCC(=O)N(C)c2ccc(Cl)cc21,5,augmented
c1(C2=NCC(=O)N(C)c3ccc(Cl)cc32)ccccc1,5,augmented
c12ccc(Cl)cc1C(c1ccccc1)=NCC(=O)N2C,5,augmented
